ekis_id;0;1;2;3;4;5;6;7;8;9
13806;13727;12926;13949;13630;13848;13426;13104;13148;13862;13199
13284;13386;13387;12805;12905;12138;13024;12844;13438;13310;13718
13651;13420;13798;13704;13705;13746;13724;13677;571;13781;13899
13849;13425;13310;13439;12891;13493;9615;12779;13260;12474;13057
13745;13677;13724;13899;13754;13841;13420;13824;13798;13704;13858
9311;9615;13721;12474;12779;12855;13638;12891;13493;13439;10348
13759;13791;13876;13906;13731;13246;13221;13940;13712;13381;12821
13697;13409;13719;12654;13288;13743;13840;13742;13752;12915;13687
13692;13940;13906;13882;13720;13751;13764;13416;13381;13118;13803
9350;13378;9615;12993;13017;13246;13663;12891;10325;12474;13519
13840;13719;13697;12584;13687;12654;13409;13288;13752;13743;12826
12851;11948;13806;13310;13393;13715;13439;13758;13779;13367;13104
13335;13243;12852;13210;13271;13199;12570;13552;10184;12763;7764
12681;12686;12961;13828;12678;12731;12940;13560;12746;13703;12680
13671;13888;13881;13734;13781;13872;13381;13906;13658;12830;13378
7484;3803;13636;3798;13440;3813;13552;13182;7509;13479;13013
13934;13425;13849;13199;13017;9615;13700;13691;13215;13784;12830
13949;13806;13630;13862;13715;13757;13285;13367;13836;13426;12926
13583;11948;13120;12519;13715;13534;13367;13747;13673;12851;13087
13824;13677;13705;13344;12889;13746;13785;13724;9539;13781;13798
13861;13936;10313;13655;13906;13909;13791;13246;13765;13799;13017
13888;12993;13836;13671;9615;12434;13381;13906;13754;13781;13378
13864;13221;13909;13731;13921;13833;13381;13829;13791;13104;13917
13295;13850;13602;3790;13847;13886;13449;12816;12514;13349;13623
13847;3790;12862;5196;13449;13602;13956;13941;13914;13523;13229
13891;13853;13178;13883;13712;13320;13357;12938;13859;11948;12519
13882;13906;13793;13381;13738;13731;13940;13246;13737;12830;13684
12855;13017;13765;566;13121;12938;12830;13439;12766;13314;12161
13602;13349;12816;5196;13886;12862;13847;13914;12971;3790;13922
13825;13619;12224;13836;13688;13120;13949;12215;13713;12821;13747
13757;13949;13630;12926;12788;13285;13057;13439;13806;13121;12215
12778;12161;13439;12855;13758;12474;566;13765;10348;12891;13153
1306;12779;10348;13728;13439;13310;13393;13849;13714;13425;13260
13392;12915;12652;13409;13288;12654;13719;13697;12584;12746;12733
13804;13310;13765;13738;13204;13865;13802;13701;13361;13104;566
13830;13246;13426;12910;13785;13906;12821;13949;13381;12224;13060
3815;13013;12339;3803;13565;3799;13012;13636;12950;13641;3880
7764;13271;12264;12584;137;13942;12827;13637;13640;13623;3813
3842;12519;12863;13444;13733;13536;3841;13717;10184;13458;13013
13948;13416;13720;13420;13787;13692;13882;13834;13851;12935;13842
13103;13221;13619;13791;13764;13731;13861;13017;13906;13655;13833
13783;13897;13794;12682;12713;13874;12730;12684;12676;13725;12704
13828;12940;13560;12746;12686;12731;12678;12961;12681;12759;13703
13223;13883;566;12830;13859;13949;13104;12855;13017;13357;13765
13930;13732;13713;10327;10319;13729;13534;13673;13859;12863;13031
13814;13874;13560;12961;12746;12730;12682;13828;12731;13897;12940
13856;12711;13752;12654;12826;12783;12652;13233;13288;12915;13771
12274;12805;12905;13024;12273;12275;12453;12195;13314;12474;12778
3822;12950;13641;3856;7530;13636;13591;13649;13516;13013;13539
13909;13833;13731;13906;13861;13179;13765;13881;13381;13872;13896
13171;13439;12830;12933;13260;13057;13751;13189;12943;13757;13367
13843;13828;12940;12731;13703;12686;12746;12961;13706;12681;13560
3718;12215;13361;13949;13104;13120;7476;13367;13836;13688;13179
13536;13382;13529;13802;13649;3842;4204;13104;13444;13419;13688
13207;13104;13519;13221;13529;13919;13833;13328;13717;13806;13715
12779;12828;13439;12916;10348;9615;1306;13714;13849;13314;13060
9292;13246;9310;13721;13667;13378;13017;12993;13672;9615;9350
13145;13379;13271;13529;10184;13120;13634;13367;13199;10348;13649
13545;13597;13792;13142;13599;13645;13557;13009;3810;13603;13955
13723;13727;9539;13806;13949;13630;13344;13688;13707;13757;13791
13366;13859;13104;13853;13663;13806;13426;13802;566;13223;13883
13177;10165;13286;12853;13025;13887;12851;13317;12960;13260;13347
13148;13367;11948;13949;13806;12933;12926;13715;13630;566;13087
13232;13178;13120;12161;13320;13728;12207;13057;9615;13784;12891
13866;13841;13901;13723;13754;13727;13749;13888;13704;13798;13246
13773;12915;13288;13563;13192;12654;13233;13752;12826;12783;13697
12966;13703;12717;12961;13560;13828;12940;12731;12681;12686;12678
13487;13906;13731;13737;13519;13619;13381;13221;13717;13876;13655
12946;12910;13246;13060;13906;13121;13757;13901;13932;13859;13830
12600;13294;12654;13288;13752;13719;13697;12619;13371;12652;13743
13796;12964;12707;12971;13943;13603;13306;13644;12940;13560;12717
13365;13017;13726;13655;12830;13906;13731;13121;12933;13936;10313
13673;13836;12933;9431;12993;13017;9615;13378;11948;12830;13519
12925;13830;12910;13836;13684;13906;13880;13381;12821;10325;12768
13247;13828;13560;12940;12961;13447;12717;12731;12765;12686;12746
13777;13765;12768;13701;13582;13841;13917;566;13781;13473;13707
12816;13602;5196;3790;12514;13349;13449;12971;12827;13847;13595
13848;13806;13231;13426;13714;10325;13763;13179;13765;13949;13361
12765;13706;13828;12678;12731;13560;12940;12961;13247;12746;12686
13870;12730;12682;12713;13897;12831;12676;12716;13725;12684;13874
13121;12855;566;13859;13314;13017;12830;13178;12161;13757;12910
12708;12915;12730;13697;13654;13854;13409;12826;12652;13122;12783
12709;12584;13697;12654;13409;12733;13840;12652;12826;13288;13563
13720;13731;13381;13906;13667;13246;13179;13896;13875;13940;13882
13444;13891;444;13883;13733;12519;13712;13320;13278;13017;13120
13449;3790;13580;13847;12816;13886;13602;12862;13576;5196;13599
12652;13294;13752;13563;13371;13409;12584;12654;13308;13697;13288
13820;13798;13704;13730;13677;13420;13705;571;13781;13746;13872
13199;13810;13802;13691;13806;13310;13738;13382;13104;13865;13060
13409;13697;12915;13719;12654;13288;13687;13772;13743;12584;13840
13389;13153;13121;13372;12910;13314;13060;12248;13297;13895;12891
13885;13859;13701;13667;12224;13880;13738;12821;13865;10313;13619
7476;13361;13747;13949;13765;13265;13883;11948;10141;13825;11662
12943;13439;12844;13057;13390;13481;13393;12926;13758;12828;13361
13811;13285;13757;13121;12927;12207;13949;13439;12215;13260;13367
13921;13829;13906;13893;13833;13381;13747;13738;13872;13864;13246
13795;13426;13246;12910;13830;12821;13940;12224;13381;13906;13949
13554;13685;13220;13552;13491;13576;7524;13640;13623;13670;13523
13883;13357;13223;13663;13320;13104;12830;13859;13853;13017;566
13641;13591;12950;7509;7530;3798;13636;13320;13516;12793;13891
13916;13957;13924;12462;13884;12970;11748;12664;13922;13914;13670
12653;13838;13062;12654;13288;13282;13122;13697;13780;13166;12826
13447;13560;12961;13247;12746;12717;12940;13828;12731;12681;12686
13672;13017;13378;12993;9350;13667;13246;13879;13859;13906;13830
13872;13906;13940;13381;12224;13060;13246;12910;13833;13689;13731
13753;13752;13288;12654;13308;13371;13697;13294;13192;12652;12915
13775;12788;13735;13842;13918;13179;13398;13754;13793;13913;13861
13031;13731;13381;13833;13853;13655;13732;13791;13872;13829;12830
137;13271;7764;12570;13203;13637;12827;13685;10184;13499;13835
13670;13809;13009;13926;13916;13599;13597;13645;13557;3810;13545
13215;12891;9615;13836;13917;12993;12474;13378;13361;13473;12855
13822;13714;13715;13673;13055;13728;11948;13816;13713;13662;13221
13479;12997;12519;13361;13715;11948;7476;7530;13231;3815;13583
12763;12827;12961;13560;12940;12678;13828;12686;12746;12681;12731
3877;13812;3877;13076;13584;13542;13575;13236;13613;13595;13642
13907;13803;13859;13017;10313;13121;13738;13655;13806;13246;12830
13815;13906;13729;13793;13878;13716;13818;13764;13381;13836;12925
13675;13906;13872;13940;13829;12888;9539;13893;13060;13833;13381
13787;13179;13416;13273;13931;12889;13791;13829;12888;13689;12935
13695;13711;13738;13382;13799;13221;13906;13199;13701;13246;13802
12195;12188;12684;12682;12805;13874;12730;12676;13794;12778;12677
13282;12654;13288;13838;13697;13750;13719;13563;13752;12729;12915
13347;13682;13887;12853;13260;11209;13367;2357;13779;12943;13020
13873;13781;13215;13917;12891;12993;13582;13728;9615;13836;13714
13750;13563;12654;12915;13697;13288;13409;13752;13192;12729;13773
10313;13688;10319;13906;13686;13017;13859;13799;13765;13738;13118
12434;12993;13836;9615;12910;13879;12437;12891;13765;9431;13917
13104;13949;13806;13728;13426;13802;12916;13714;13630;13859;13883
13867;12570;12652;13262;12940;13560;3798;12961;13499;12827;12584
13746;13728;12821;13872;13705;13704;13881;13104;13630;13426;13727
13679;12850;13703;13828;12940;12731;12961;13560;12746;13706;12717
13078;13120;10184;13055;13637;11948;11500;13260;13232;13481;13119
13754;13906;13630;12933;13426;12788;13655;13381;13731;13246;13757
13458;3717;4204;3871;13519;13721;13649;13733;13673;13906;3842
13786;13721;13836;12519;13673;13519;12993;13879;13695;13087;11948
13241;13849;13199;13310;11500;13260;13379;13120;13425;13765;13493
13791;13949;13757;13246;13731;12788;13806;13906;10313;13179;10325
13798;13704;13677;13420;13705;13746;9539;13885;571;13724;13841
13890;13887;12853;13735;13736;13682;13694;13398;12983;13880;13588
3790;13847;12514;13449;12816;13886;5196;13597;13545;3794;13792
12020;13701;12889;13735;13749;12788;13667;9291;9310;13917;12768
3890;13637;13565;137;13203;7764;3870;13190;12570;12584;13623
13013;3815;7520;13434;3798;3856;12951;13649;13636;13565;12997
